nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning
10001,25053,100,Braastad XO,,442.000,,700,631.43,2000-08-07,,Cognac,Flaska,Naturkork,"Cognac, Fine Champagne",Frankrike,Tiffon,Arcus Sweden AB,,,40%,FS,0,0,
10002,839774,100,Braastad XO,,349.000,,500,698,2014-06-02,,Cognac,Flaska,Naturkork,"Cognac, Fine Champagne",Frankrike,Tiffon,Arcus Sweden AB,,,40%,FS,0,0,
1001,190719,10,Vanlig Vodka,,195.000,,700,278.57,2006-04-01,,Okryddad sprit,Flaska,Skruvkapsyl,,Sverige,Svensk Export Vodka AB,Fondberg,,,37.5%,FS,0,0,Vete.
100103,868597,1001,Anchor Old Foghorn,,29.900,,355,84.23,2014-12-01,,"ol, Ale",Flaska,,,USA,Anchor Brewing Company,Cask Sweden AB,,,9.4%,FSN,0,0,Kornmalt och humle.
1001201,51029,10012,Dworek Vodka,,190.000,,700,271.43,2004-12-06,,Okryddad sprit,Flaska,,,Polen,Tarpan Fabryka Likierow,TIWA Trading AB,,,37.5%,FS,0,0,Rag.
1001202,407506,10012,Dworek Vodka,,100.000,,350,285.71,2009-10-01,,Okryddad sprit,Flaska,Skruvkapsyl,,Polen,Tarpan Fabryka Likierow,TIWA Trading AB,,,37.5%,FS,0,0,Olika sadesslag.
1005201,733236,10052,Balcones True Blue,,899.000,,700,1284.29,2013-03-01,,"Whisky, ovrig",Flaska,,,USA,Balcones Distilling,Cask Sweden AB,,,50.2%,TSE,0,0,
1005901,777789,10059,Bunnahabhain,12 Years Un-chillfiltered,449.000,,700,641.43,2013-12-02,,"Whisky, Malt",Flaska,,"Skottland, Islay",Storbritannien,Bunnahabhain,Interbrands Sweden AB,0,,46.3%,FS,0,0,Kornmalt.
1006101,780683,10061,Samuel Adams,Fat Jack Double Pumpkin,58.000,,650,89.23,2013-10-01,,"ol, Ale",Flaska,,,USA,Boston Beer Company,Galatea Spirits AB,,,8.5%,TSE,0,0,"Korn- och ragmalt, pumpa, kanel, ingefara, muskot och kryddpeppar."
1006903,780874,10069,De Molen,Bommen & Granaten,57.000,,330,172.73,2013-10-01,,"ol, Ale",Flaska,,,Nederlanderna,Brouwerij De Molen,Galatea Spirits AB,,,15.2%,TSE,0,0,"Kornmalt och humle av sorterna sladek, saaz och premiant."
1007901,781859,10079,Signatory,Glen Mhor,2999.000,,700,4284.29,2013-10-01,,"Whisky, Malt",Flaska,,Skottland,Storbritannien,Signatory,Galatea Spirits AB,1982,,53.7%,TSE,0,0,
1008301,781966,10083,Delamain,Extra,1999.000,,700,2855.71,2013-11-01,,Cognac,Flaska,,"Cognac, Grande Champagne",Frankrike,Delamain,Johan Lidby Vinhandel AB,,,40%,TSE,0,0,
1009102,786044,10091,Etter Zuger Kirsch,,326.000,,350,931.43,2013-10-01,,Sprit av frukt,Flaska,,,Schweiz,Etter Soehne AG Distillerie,Vinalliansen Legal Vintage Sweden AB,,,41%,TSE,0,0,
1009201,786047,10092,Botanivore,,487.000,,700,695.71,2013-12-02,,Gin,Flaska,,,USA,St George Spirits,Aros Import HB,,,45%,TSE,0,0,
1009801,787247,10098,Amrut,Sherry Cask,869.000,,700,1241.43,2014-02-01,,"Whisky, Malt",Flaska,,,Indien,Amrut Distilleries,Clydesdale AB,,,56.5%,TSE,0,0,Kornmalt.
101,1,1,Renat,,203.000,,700,290,1993-10-01,,Okryddad sprit,Flaska,,,Internationellt marke,Pernod Ricard,Pernod Ricard Sweden AB,,,37.5%,FS,0,0,Forr potatis numera endast sad.
1010001,817007,10100,Romano Levi,Mostaco d´Asti Donna Selvatica,790.000,,700,1128.57,2014-04-01,,"Grappa och Marc, Grappa",Flaska,,,Italien,Distilleria Levi Serafino ( di Levi Romano Srl),Haugen-Gruppen AB,,,40%,TSE,0,0,
1010806,751602,10108,Vieux Marc,Vignobles Brunier,1650.000,,1750,942.86,2013-06-01,,"Grappa och Marc, Marc",Flaska,,,Frankrike,Vignobles Brunier,janake wine group AB,2001,,42%,TSE,0,0,
1011301,872499,10113,The Whisky Agency,Mortlach,995.000,,700,1421.43,2014-09-19,,"Whisky, Malt",Flaska,Naturkork,Skottland,Storbritannien,The Whisky Agency,Origo Wine Import,1990,,51.5%,TSE,0,0,
1011401,811782,10114,Grappa Riserva Levi Romano,Distilleria Levi Serafino Donna Selvatica,989.000,,700,1412.86,2014-03-01,,"Grappa och Marc, Grappa",Flaska,Naturkork,,Italien,Distilleria Levi Serafino ( di Levi Romano Srl),Haugen-Gruppen AB,,,50%,TSE,0,0,
1011601,614078,10116,Glenmorangie,Pride,24500.000,,1000,24500,2012-02-23,,"Whisky, Malt",Flaska,Naturkork,"Skottland, Highlands, Northern Highlands",Storbritannien,Glenmorangie,Moët Hennessy Sverige AB,1981,,56.7%,TSE,0,0,
1011701,857623,10117,apple & Kanel,med Bourbon,159.000,,700,227.14,2014-11-03,,Drinkar och Cocktails,Flaska,,,Tyskland,K A Back Edelbrandtweinbrenner,Granqvist Beverage House AB,,,15%,TSS,0,0,
1011902,863269,10119,Grappa di Promis,Gaja,399.000,,500,798,2014-11-21,,"Grappa och Marc, Grappa",Flaska,Naturkork,,Italien,Gaja,Vinunic AB,,,45%,TSE,0,0,
1012101,781275,10121,El Jolgorio Madrecuixe,Agave de Cortes,1199.000,,700,1712.86,2013-09-02,,Tequila och Mezcal,Flaska,,,Mexiko,Agave de Cortes,AliasSmith AB,,,47%,TSE,0,0,
1012201,887084,10122,Zacapa,Reserva Limitada,799.000,,700,1141.43,2014-11-21,,"Rom, Mork",Flaska,,,Guatemala,Diageo Plc,Diageo Sweden AB,2014,,45%,TSE,0,0,
1012301,766612,10123,The Maltman Glen Keith,18 Years,869.000,,700,1241.43,2013-08-01,,"Whisky, Malt",Flaska,,"Skottland, Highlands, Speyside",Storbritannien,Meadowside Blending,Galatea Spirits AB,,,51.5%,TSE,0,0,
1012601,874805,10126,Nikka Taketsuru,Pure Malt,549.000,,700,784.29,2014-10-03,,"Whisky, Malt",Flaska,,,Japan,The Nikka Whisky Distilling Co,Symposion International AB,,,43%,TSE,0,0,Kornmalt.
1012801,870644,10128,Octomore,06.1 Scottish Barley,1399.000,,700,1998.57,2014-10-03,,"Whisky, Malt",Flaska,,,Storbritannien,Bruichladdich,Nigab,,,57%,TSE,0,0,Kornmalt.
1012902,863307,10129,Grappa di Gaia & Rey,Gaja,439.000,,500,878,2014-11-21,,"Grappa och Marc, Grappa",Flaska,Naturkork,,Italien,Gaja,Vinunic AB,,,45%,TSE,0,0,
1013202,811711,10132,Capovilla,Grappa di Brunello,655.000,,500,1310,2014-03-01,,"Grappa och Marc, Grappa",Flaska,,,Italien,CAPOVILLA AZIENDA AGRICOLA DI CAPOVILLA VITTORIO,Haugen-Gruppen AB,,,44%,TSE,0,0,
1013502,863334,10135,Grappa di Costa Russi,Gaja,439.000,,500,878,2014-11-21,,"Grappa och Marc, Grappa",Flaska,Naturkork,,Italien,Gaja,Vinunic AB,,,45%,TSE,0,0,
1013802,817026,10138,Eric Bordelet Calvados,,852.000,,500,1704,2014-04-01,,Calvados,Flaska,,"Normandie, Calvados",Frankrike,Eric Bordelet,Riktig Cider,1997,,51%,TSE,0,0,
