Varnummer;Namn;Underrubrik;Prisinklmoms;Volymiml;Saljstart;Varugrupp;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;Ekologisk;RavarorBeskrivning;fyllighet;stravhet;fruktsyra;druva;smak;doft
10682;Terre de Mistral Reserve;Côtes du Rhône Organic;245;3000;2014-09-01;Rott vin, Kryddigt & Mustigt;Box;Vingtapp;Rhonedalen, Côtes du Rhône;Frankrike;Les Vignerons d'Estezargues;Enjoy Wine & Spirits AB;2013;2013;14%;FSN;1;Grenache, syrah, carignan och mourvèdre.;8 ;8 ;9 ;Grenache,syrah,carignan,och,mourvèdre;Nyanserad,kryddig,smak,inslag,hallon,plommon,choklad,vitpeppar,lagerblad,lakrits ;Nyanserad,kryddig,doft,inslag,hallon,blåbär,choklad,färska,örter,lakrits
12001;Bouchard & Finlayson Galpin Peak Pinot Noir;;239;750;2013-11-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Western Cape, Cape South Coast, Walker Bay, Hemel-en-Aarde Valley;Sydafrika;Bouchard Finlayson;Handpicked Wines Sweden AB;2011;2011;14%;TSE;0;Pinot noir.;7 ;6 ;9 ;Pinot,noir;Nyanserad,kryddig,smak,rostad,fatkaraktär,inslag,jordgubbar,kaffe,mynta,plommon,ingefära,nougat ;Nyanserad,kryddig,doft,karaktär,rostade,ekfat,inslag,jordgubbar,kaffe,mynta,plommon,ingefära,nougat
12002;Allesverloren;Tinta Barocca;125;750;2002-04-02;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Western Cape, Coastal Region, Swartland;Sydafrika;Allesverloren Wine Estate;janake wine group AB;2012;2012;14%;FS;0;Tinta barocca.;8 ;8 ;9 ;Tinta,barocca;Kryddig,smak,fatkaraktär,inslag,plommon,björnbär,kryddnejlika,choklad,vanilj ;Kryddig,doft,fatkaraktär,inslag,mörka,eukalyptus,tobak,choklad,kaffe
12002;Allesverloren;Tinta Barocca;250;1500;2012-04-02;Rott vin;Magnum;;Western Cape, Coastal Region, Swartland;Sydafrika;Allesverloren Wine Estate;janake wine group AB;2011;2011;14.5%;BS;0;;8 ;8 ;9 ;Tinta,barocca;Kryddig,smak,fatkaraktär,inslag,plommon,björnbär,kryddnejlika,choklad,vanilj ;Kryddig,doft,fatkaraktär,inslag,mörka,eukalyptus,tobak,choklad,kaffe
12019;Kleine Zalze Vineyard Selection;Cabernet Sauvignon Barrel Matured;129;750;2013-09-02;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Western Cape, Coastal Region, Stellenbosch;Sydafrika;Kleine Zalze;Winemarket Nordic AB;2011;2011;14.5%;FS;0;85% cabernet sauvignon, 10% merlot och 5% petit verdot.;10;9 ;9 ;85%,cabernet,sauvignon,10%,merlot,och,petit,verdot;Mycket,fruktig,nyanserad,smak,rostad,fatkaraktär,inslag,svarta,vinbär,plommon,mintchoklad,kaffe ;Fruktig,nyanserad,doft,fatkaraktär,inslag,svarta,vinbär,mintchoklad,plommon,kaffe
12035;Helderberg;Merlot;95;750;2013-09-02;Rott vin;Flaska;Skruvkapsyl;Western Cape, Coastal Region, Stellenbosch;Sydafrika;Helderberg Winery;Prime Wine Sweden AB;2012;NA;14.5%;BS;0;;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
12038;Drostdy-Hof;Cape Red Shiraz Merlot;69;750;1997-03-03;Rott vin, Mjukt & Barigt;Flaska;Skruvkapsyl;Western Cape;Sydafrika;Drostdy Cellars;Bibendum;2013;2013;13.5%;FS;0;Shiraz och merlot.;5 ;5 ;9 ;Shiraz,och,merlot;Bärig,rökig,smak,inslag,mörka,örter,sötlakrits ;Bärig,något,rökig,doft,inslag,mörka,örter,lakrits
12038;Drostdy-Hof;Cape Red Shiraz Merlot;189;3000;2000-10-02;Rott vin, Mjukt & Barigt;Box;Vridtapp;;Sydafrika;Drostdy Cellars;Bibendum;2013;2013;13.5%;FS;0;Shiraz och merlot.;5 ;5 ;9 ;Shiraz,och,merlot;Bärig,rökig,smak,inslag,mörka,örter,sötlakrits ;Bärig,något,rökig,doft,inslag,mörka,örter,lakrits
12044;Anura;Pinotage Syrah;79;750;2007-04-02;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;Western Cape, Coastal Region, Paarl, Simonsberg-Paarl;Sydafrika;Anura Vineyards;WineWorld AB;2013;2013;14.5%;FS;0;55% pinotage och 45% syrah.;8 ;7 ;9 ;55%,pinotage,och,45%,syrah;Mycket,fruktig,något,rökig,smak,fatkaraktär,inslag,mörka,plommon,lakrits,örter,kaffe ;Fruktig,något,rökig,doft,fatkaraktär,inslag,mörka,plommon,lakrits,örter
12119;Rijk's;Shiraz Cinsault Mourvèdre Viognier;179;3000;2006-04-01;Rott vin;Box;Tryckknapp topp;Western Cape;Sydafrika;Rijks Private Cellar;Prime Wine Sweden AB;2012;2012;14%;BS;0;Shiraz, cinsault, mourvèdre och viognier.;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
12120;Rowberry;Five Vine Selection;79;750;2013-12-02;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;Western Cape;Sydafrika;Zorgvliet Wines;Sundance Wines AB;2012;2012;14.5%;FS;0;Cabernet sauvignon, merlot, cabernet franc, petit verdot och shiraz.;9 ;8 ;9 ;Cabernet,sauvignon,merlot,cabernet,franc,petit,verdot,och,shiraz;Fruktig,smak,fatkaraktär,inslag,mörka,örter,plommon,vanilj,gräs ;Fruktig,doft,fatkaraktär,inslag,mörka,örter,plommon,vanilj,paprika
12126;Beronia;Viticultura Ecológica;89;750;2009-04-01;Rott vin, Kryddigt & Mustigt;Flaska;Skruvkapsyl;Rioja;Spanien;Bodegas Beronia;Nigab;2012;2012;13.5%;FS;1;Tempranillo.;7 ;7 ;9 ;Tempranillo;Kryddig,smak,fatkaraktär,inslag,mörka,körsbär,kryddnejlika,vanilj,choklad ;Kryddig,doft,fatkaraktär,inslag,mörka,körsbär,jordgubbar,choklad,lakrits,vanilj
12157;Foot of Africa;Shiraz Viognier;69;750;2006-10-02;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;Western Cape;Sydafrika;Kleine Zalze;Winemarket Nordic AB;2013;2013;14.5%;FS;0;95% shiraz och 5% viognier.;8 ;7 ;9 ;95%,shiraz,och,viognier;Mycket,fruktig,smak,inslag,mörka,vanilj,choklad ;Fruktig,doft,inslag,björnbär,plommon,choklad
12174;Hidden Rock;Petit Verdot Cabernet Sauvignon;59;750;2006-04-01;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;South Eastern Australia;Australien;Dominic Wines;Enjoy Wine & Spirits AB;2013;2013;13.5%;FS;0;75% petit verdot och 25% cabernet sauvignon.;7 ;6 ;9 ;75%,petit,verdot,och,25%,cabernet,sauvignon;Mycket,fruktig,smak,inslag,blåbär,svarta,vinbär,sötlakrits,mynta ;Ungdomlig,fruktig,doft,inslag,skogsbär,svarta,vinbär,sötlakrits,mynta
12174;Hidden Rock;Petit Verdot Cabernet Sauvignon;189;3000;2007-09-24;Rott vin, Fruktigt & Smakrikt;Box;Tryckknapp topp;South Eastern Australia;Australien;Dominic Wines;Enjoy Wine & Spirits AB;2013;2013;13.5%;BS;0;;7 ;6 ;9 ;75%,petit,verdot,och,25%,cabernet,sauvignon;Mycket,fruktig,smak,inslag,blåbär,svarta,vinbär,sötlakrits,mynta ;Ungdomlig,fruktig,doft,inslag,skogsbär,svarta,vinbär,sötlakrits,mynta
12300;Barone Ricasoli;Formulae;239;3000;2006-10-02;Rott vin, Kryddigt & Mustigt;Box;Vingtapp;Toscana;Italien;Barone Ricasoli;WineWorld AB;2013;2013;12.5%;FS;0;Sangiovese.;7 ;7 ;9 ;Sangiovese;Kryddig,smak,inslag,mörka,körsbär,rosmarin,vanilj ;Kryddig,doft,inslag,mörka,körsbär,rosmarin,choklad
12304;Lacrima di Morro d'Alba;Marotti Campi;80;750;2014-12-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Marche, Lacrima di Morro d'Alba;Italien;Marotti Campi;Theisvine AB;2013;2013;13%;FSN;0;Lacrima.;7 ;7 ;9 ;Lacrima;Nyanserad,kryddig,smak,inslag,plommon,eneträ,mörka,körsbär,lavendel,blåbär,färska,örter ;Nyanserad,något,parfymerad,doft,inslag,plommon,eneträ,mörka,körsbär,lavendel,äpplen
