nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning,fyllighet,stravhet,fruktsyra,smak,doft
791001,9997910,7910,Chateau Fakra,Pinacle,99,NA,750,132,2015-03-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Bekaa, Kfardebian Valley",Libanon,,,2010,2010,14.0%,FS,0,0,"Cabernet sauvignon, syrah och cinsault.",9,8,9,kryddig.utvecklad.fatkaraktar.torkade korsbar.choklad.korinter.peppar.ceder,kryddig.fatkaraktar.torkade korsbar.choklad.korinter.kanel.tobak
8160301,99981603,81603,Vinistella,,79,NA,750,105.33,2014-05-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,Sicilien,Italien,,,2014,2014,13.5%,FS,1,0,Nero d'Avola.,8,8,9,fruktig.fatkaraktar.skogsbar.vanilj.morka korsbar.kaffe.laktrits,fruktig.fatkaraktar.skogsbar.vanilj.morka korsbar.lakrits
660501,9996605,6605,Trapiche,Oak Cask Pinot Noir,85,NA,750,113.33,2014-09-08,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Cuyo, Mendosa",Argentina,,,2013,2013,14.0%,FS,0,0,Pinot noir.,6,5,9,kryddig.fatkaraktar.skogshallon.korsbar.orter.choklad,kryddig.fatkaraktar.skogshallon.korsbar.choklad
652101,9996521,6521,Tapiz Joven,Malbec,69,NA,750,92,2015-01-15,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Cuyo, Mendoza",Argentina,,,2014,2014,14.0%,FS,0,0,Malbec.,8,7,9,generost.fruktig.fat.skogsbar.viol.lakrits,generost.fruktig.fat.skogsbar.orter.viol.vanilj
9526201,99995262,95262,M Blaufrankisch,Markus Schneider uppsk.fr. weine.de,199,NA,750,265.33,2014-05-13,NA,Rott vin,Flaska,Naturkork,Pfalz,Tyskland,,,2012,2012,14.0%,BS,0,0,Blaufrankisch.,9,9,4,katrinplommon.korsbar.rokig.vanilj.kakao.anis.peppar.nejlikor.viol.enetra.bjornbar.svarta vinbar,enetra.bjornbar.plommon.svarta vinbar
9258901,99992589,92589,Dogma,Blaufrankisch,151,NA,750,201.33,2014-05-13,NA,"Rott vin, Mjukt & Barigt",Flaska,Naturkork,Burgenland,Osterrike,,,2013,2013,14.0%,FS,1,0,Blaufrankisch.,6,6,10,ungdomlig.barig.blabar.muskot.svarta vinbar.slanbar.orter,ungdomlig.barig.blabar.muskot.korsbar.orter
7245801,99972458,72458,Les Dauphins,C�tes-du-Rh�ne Reserve,81,NA,750,108,2014-05-13,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Plastkork,"Rhonedalen, C�tes-du-Rh�ne",Frankrike,Cellier des Dauphins,BGS Wine Import,2013,2013,"13,0%",FS,0,0,,6,5,9,fruktig.hallon.blabar.lagerblad.orter,fruktig.hallon.blabar.peppar.orter
7052601,785439,70526,C�tes-du-Rh�ne,Saint-Francois,83,NA,750,110.67,2014-01-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Rhonedalen, C�tes-du-Rh�ne",Frankrike,Gabriel Meffre,The Wine Team,2013,2013,13.5%,FS,1,0,"Grenache, syrah och cinsault.",7,7,9,fruktig.kryddig.inslag av fat.bjornbar.korsbar.kanel.timjan,fruktig.kryddig.inslag av fat.bjornbar.korsbar.peppar.lakrits.timjan
1068208,850140,10682,Terre de Mistral Reserve,C�tes du Rh�ne Organic,245,NA,3000,81.67,2014-09-01,NA,"Rott vin, Kryddigt & Mustigt",Box,Vingtapp,"Rhonedalen, C�tes du Rh�ne",Frankrike,Les Vignerons d'Estezargues,Enjoy Wine & Spirits AB,2013,2013,14%,FSN,1,0,"Grenache, syrah, carignan och mourv�dre.",8,8,9,nyanserad.kryddig.hallon.plommon.choklad.vitpeppar.lagerblad.lakrits,nyanserad.kryddig.hallon.blabar.choklad.farska orter.lakrits
1200201,33861,12002,Allesverloren,Tinta Barocca,125,NA,750,166.67,2002-04-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Western Cape, Coastal Region, Swartland",Sydafrika,Allesverloren Wine Estate,janake wine group AB,2012,2012,14%,FS,0,0,Tinta barocca.,8,8,9,kryddig.fatkaraktar.plommon.bjornbar.kryddnejlika.choklad.vanilj,kryddig.fatkaraktar.morka bar.eukalyptus.tobak.choklad.kaffe
