"","X","X.1","nr","Artikelid","Varnummer","Namn","Namn2","Prisinklmoms","Pant","Volymiml","PrisPerLiter","Saljstart","Slutlev","Varugrupp","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Leverantor","Argang","Provadargang","Alkoholhalt","Sortiment","Ekologisk","Koscher","RavarorBeskrivning","fyllighet","stravhet","fruktsyra","druva","smak","doft","real_score","RCGY_predicted","bar_predicted"
"1",1,107,1068208,850140,10682,"Terre de Mistral Reserve","Côtes du Rhône Organic",245,NA,3000,81.67,"2014-09-01",NA,"Rott vin. Kryddigt & Mustigt","Box","Vingtapp","Rhonedalen. Côtes du Rhône","Frankrike","Les Vignerons d'Estezargues","Enjoy Wine & Spirits AB",2013,2013,"14%","FSN",1,0,"Grenache. syrah. carignan och mourvèdre.","8 ","8 ","9 ","Grenache.syrah.carignan.och.mourvèdre","nyanserad.kryddig.smak.inslag.hallon.plommon.choklad.vitpeppar.lagerblad.lakrits ","Nyanserad.kryddig.doft.inslag.hallon.blåbär.choklad.färska.örter.lakrits",99,2.25,6.08333333333333
"2",2,490,1200101,778619,12001,"Bouchard & Finlayson Galpin Peak Pinot Noir","",239,NA,750,318.67,"2013-11-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Western Cape. Cape South Coast. Walker Bay. Hemel-en-Aarde Valley","Sydafrika","Bouchard Finlayson","Handpicked Wines Sweden AB",2011,2011,"14%","TSE",0,0,"Pinot noir.","7 ","6 ","9 ","Pinot.noir","nyanserad.kryddig.smak.rostad.fatkaraktär.inslag.jordgubbar.kaffe.mynta.plommon.ingefära.nougat ","Nyanserad.kryddig.doft.karaktär.rostade.ekfat.inslag.jordgubbar.kaffe.mynta.plommon.ingefära.nougat",99,3.75,3.41666666666667
"3",3,491,1200201,33861,12002,"Allesverloren","Tinta Barocca",125,NA,750,166.67,"2002-04-02",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Western Cape. Coastal Region. Swartland","Sydafrika","Allesverloren Wine Estate","janake wine group AB",2012,2012,"14%","FS",0,0,"Tinta barocca.","8 ","8 ","9 ","Tinta.barocca","kryddig.smak.fatkaraktär.inslag.plommon.björnbär.kryddnejlika.choklad.vanilj ","Kryddig.doft.fatkaraktär.inslag.mörka.eukalyptus.tobak.choklad.kaffe",99,6.25,6.08333333333333
"4",4,492,1200206,640741,12002,"Allesverloren","Tinta Barocca",250,NA,1500,166.67,"2012-04-02",NA,"Rott vin","Magnum","","Western Cape. Coastal Region. Swartland","Sydafrika","Allesverloren Wine Estate","janake wine group AB",2011,2011,"14.5%","BS",0,0,"","8 ","8 ","9 ","Tinta.barocca","kryddig.smak.fatkaraktär.inslag.plommon.björnbär.kryddnejlika.choklad.vanilj ","Kryddig.doft.fatkaraktär.inslag.mörka.eukalyptus.tobak.choklad.kaffe",99,3.75,6.08333333333333
"5",5,496,1201901,756075,12019,"Kleine Zalze Vineyard Selection","Cabernet Sauvignon Barrel Matured",129,NA,750,172,"2013-09-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Naturkork","Western Cape. Coastal Region. Stellenbosch","Sydafrika","Kleine Zalze","Winemarket Nordic AB",2011,2011,"14.5%","FS",0,0,"85% cabernet sauvignon. 10% merlot och 5% petit verdot.","10","9 ","9 ","85%.cabernet.sauvignon.10%.merlot.och.petit.verdot","mycket.fruktig.nyanserad.smak.rostad.fatkaraktär.inslag.svarta.vinbär.plommon.mintchoklad.kaffe ","Fruktig.nyanserad.doft.fatkaraktär.inslag.svarta.vinbär.mintchoklad.plommon.kaffe",99,3.75,5.70833333333333
"6",6,501,1203501,766221,12035,"Helderberg","Merlot",95,NA,750,126.67,"2013-09-02",NA,"Rott vin","Flaska","Skruvkapsyl","Western Cape. Coastal Region. Stellenbosch","Sydafrika","Helderberg Winery","Prime Wine Sweden AB",2012,NA,"14.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,6.25,NA
"7",7,502,1203801,12163,12038,"Drostdy-Hof","Cape Red Shiraz Merlot",69,NA,750,92,"1997-03-03",NA,"Rott vin. Mjukt & Barigt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Drostdy Cellars","Bibendum",2013,2013,"13.5%","FS",0,0,"Shiraz och merlot.","5 ","5 ","9 ","Shiraz.och.merlot","bärig.rökig.smak.inslag.mörka.örter.sötlakrits ","Bärig.något.rökig.doft.inslag.mörka.örter.lakrits",99,2.25,3.41666666666667
"8",8,503,1203808,24872,12038,"Drostdy-Hof","Cape Red Shiraz Merlot",189,NA,3000,63,"2000-10-02",NA,"Rott vin. Mjukt & Barigt","Box","Vridtapp","","Sydafrika","Drostdy Cellars","Bibendum",2013,2013,"13.5%","FS",0,0,"Shiraz och merlot.","5 ","5 ","9 ","Shiraz.och.merlot","bärig.rökig.smak.inslag.mörka.örter.sötlakrits ","Bärig.något.rökig.doft.inslag.mörka.örter.lakrits",99,2.25,3.41666666666667
"9",9,504,1204401,238973,12044,"Anura","Pinotage Syrah",79,NA,750,105.33,"2007-04-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape. Coastal Region. Paarl. Simonsberg-Paarl","Sydafrika","Anura Vineyards","WineWorld AB",2013,2013,"14.5%","FS",0,0,"55% pinotage och 45% syrah.","8 ","7 ","9 ","55%.pinotage.och.45%.syrah","mycket.fruktig.något.rökig.smak.fatkaraktär.inslag.mörka.plommon.lakrits.örter.kaffe ","Fruktig.något.rökig.doft.fatkaraktär.inslag.mörka.plommon.lakrits.örter",99,2.25,7.41666666666667
"10",10,518,1211908,190625,12119,"Rijk's","Shiraz Cinsault Mourvèdre Viognier",179,NA,3000,59.67,"2006-04-01",NA,"Rott vin","Box","Tryckknapp topp","Western Cape","Sydafrika","Rijks Private Cellar","Prime Wine Sweden AB",2012,2012,"14%","BS",0,0,"Shiraz. cinsault. mourvèdre och viognier.","inte testat","inte testat","inte testat","Ingen anged","intetestat","inte testat",99,6.25,NA
"11",11,519,1212001,735655,12120,"Rowberry","Five Vine Selection",79,NA,750,105.33,"2013-12-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Zorgvliet Wines","Sundance Wines AB",2012,2012,"14.5%","FS",0,0,"Cabernet sauvignon. merlot. cabernet franc. petit verdot och shiraz.","9 ","8 ","9 ","Cabernet.sauvignon.merlot.cabernet.franc.petit.verdot.och.shiraz","fruktig.smak.fatkaraktär.inslag.mörka.örter.plommon.vanilj.gräs ","Fruktig.doft.fatkaraktär.inslag.mörka.örter.plommon.vanilj.paprika",99,6.25,6.69444444444444
"12",12,521,1212601,368117,12126,"Beronia","Viticultura Ecológica",89,NA,750,118.67,"2009-04-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Skruvkapsyl","Rioja","Spanien","Bodegas Beronia","Nigab",2012,2012,"13.5%","FS",1,0,"Tempranillo.","7 ","7 ","9 ","Tempranillo","kryddig.smak.fatkaraktär.inslag.mörka.körsbär.kryddnejlika.vanilj.choklad ","Kryddig.doft.fatkaraktär.inslag.mörka.körsbär.jordgubbar.choklad.lakrits.vanilj",99,6.25,6.70833333333333
"13",13,524,1215701,205747,12157,"Foot of Africa","Shiraz Viognier",69,NA,750,92,"2006-10-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Kleine Zalze","Winemarket Nordic AB",2013,2013,"14.5%","FS",0,0,"95% shiraz och 5% viognier.","8 ","7 ","9 ","95%.shiraz.och.viognier","mycket.fruktig.smak.inslag.mörka.vanilj.choklad ","Fruktig.doft.inslag.björnbär.plommon.choklad",99,2.25,7.41666666666667
"14",14,528,1217401,190669,12174,"Hidden Rock","Petit Verdot Cabernet Sauvignon",59,NA,750,78.67,"2006-04-01",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","South Eastern Australia","Australien","Dominic Wines","Enjoy Wine & Spirits AB",2013,2013,"13.5%","FS",0,0,"75% petit verdot och 25% cabernet sauvignon.","7 ","6 ","9 ","75%.petit.verdot.och.25%.cabernet.sauvignon","mycket.fruktig.smak.inslag.blåbär.svarta.vinbär.sötlakrits.mynta ","Ungdomlig.fruktig.doft.inslag.skogsbär.svarta.vinbär.sötlakrits.mynta",99,2.25,3.41666666666667
"15",15,529,1217408,283462,12174,"Hidden Rock","Petit Verdot Cabernet Sauvignon",189,NA,3000,63,"2007-09-24",NA,"Rott vin. Fruktigt & Smakrikt","Box","Tryckknapp topp","South Eastern Australia","Australien","Dominic Wines","Enjoy Wine & Spirits AB",2013,2013,"13.5%","BS",0,0,"","7 ","6 ","9 ","75%.petit.verdot.och.25%.cabernet.sauvignon","mycket.fruktig.smak.inslag.blåbär.svarta.vinbär.sötlakrits.mynta ","Ungdomlig.fruktig.doft.inslag.skogsbär.svarta.vinbär.sötlakrits.mynta",99,2.25,3.41666666666667
"16",16,540,1230008,215617,12300,"Barone Ricasoli","Formulae",239,NA,3000,79.67,"2006-10-02",NA,"Rott vin. Kryddigt & Mustigt","Box","Vingtapp","Toscana","Italien","Barone Ricasoli","WineWorld AB",2013,2013,"12.5%","FS",0,0,"Sangiovese.","7 ","7 ","9 ","Sangiovese","kryddig.smak.inslag.mörka.körsbär.rosmarin.vanilj ","Kryddig.doft.inslag.mörka.körsbär.rosmarin.choklad",99,6.08333333333333,6.70833333333333
"17",17,542,1230401,873520,12304,"Lacrima di Morro d'Alba","Marotti Campi",80,NA,750,106.67,"2014-12-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Marche. Lacrima di Morro d'Alba","Italien","Marotti Campi","Theisvine AB",2013,2013,"13%","FSN",0,0,"Lacrima.","7 ","7 ","9 ","Lacrima","nyanserad.kryddig.smak.inslag.plommon.eneträ.mörka.körsbär.lavendel.blåbär.färska.örter ","Nyanserad.något.parfymerad.doft.inslag.plommon.eneträ.mörka.körsbär.lavendel.äpplen",99,2.25,6.70833333333333
"18",18,544,1232401,34990,12324,"Zenato","Ripassa",187,NA,750,249.33,"2002-06-03",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Valpolicella. Valpolicella Classico","Italien","Zenato","Hjo Grosshandel AB",2010,2010,"14%","FS",0,0,"Corvina veronese 80 %. rondinella 10 % och sangiovese 10 %","9 ","9 ","9 ","Corvina.veronese.rondinella.och.sangiovese","kryddig.smak.fatkaraktär.inslag.katrinplommon.mörka.körsbär.salvia.choklad ","Kryddig.doft.fatkaraktär.inslag.russin.mörka.körsbär.salvia.kanel.vanilj",99,2.25,7.36111111111111
"19",19,545,1233001,857333,12330,"Brunello di Montalcino La Fuga","Tenute Folonari",279,NA,750,372,"2014-09-01",NA,"Rott vin. Stramt & Nyanserat","Flaska","Naturkork","Toscana. Brunello di Montalcino","Italien","Folonari","Ward Wines AB",2009,2009,"15%","FSN",0,0,"Sangiovese.","10","10","10","Sangiovese","nyanserad.något.utvecklad.smak.fatkaraktär.inslag.torkade.körsbär.salvia.kakao.eneträ ","Nyanserad.något.utvecklad.doft.fatkaraktär.inslag.torkade.körsbär.salvia.nougat.plommon.eneträ.vanilj",99,4.25,5.83333333333333
"20",20,547,1234301,272067,12343,"A","Amarone",219,NA,750,292,"2007-10-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Valpolicella. Amarone della Valpolicella","Italien","Alpha Zeta","Mondo Wine Sweden AB",2011,2011,"15%","FS",0,0,"70% corvina veronese. 25% rondinella och 5% cabernet sauvignon.","10","10","10","70%.corvina.veronese.25%.rondinella.och.cabernet.sauvignon","kryddigt.smakrikt.fatkaraktär.inslag.torkade.körsbär.romrussin.mörk.choklad.sandelträ.vanilj ","Stor.kryddig.doft.fatkaraktär.inslag.korinter.romrussin.sandelträ.vanilj.mörk.choklad",99,3.75,5.83333333333333
"21",21,548,1234302,272052,12343,"A","Amarone",119,NA,375,317.33,"2007-10-01",NA,"Rott vin. Kryddigt & Mustigt","Flaska","Naturkork","Venetien. Valpolicella. Amarone della Valpolicella","Italien","Alpha Zeta","Mondo Wine Sweden AB",2011,2011,"15%","FS",0,0,"70% corvina veronese. 25% rondinella och 5% cabernet sauvignon.","10","10","10","70%.corvina.veronese.25%.rondinella.och.cabernet.sauvignon","kryddigt.smakrikt.fatkaraktär.inslag.torkade.körsbär.romrussin.mörk.choklad.sandelträ.vanilj ","Stor.kryddig.doft.fatkaraktär.inslag.korinter.romrussin.sandelträ.vanilj.mörk.choklad",99,3.75,5.83333333333333
"22",22,549,1234306,519391,12343,"A","Amarone",399,NA,1500,266,"2010-10-01",NA,"Rott vin","Magnum","Naturkork","Venetien. Valpolicella. Amarone della Valpolicella","Italien","Alpha Zeta","Mondo Wine Sweden AB",2010,NA,"15%","BS",0,0,"","10","10","10","70%.corvina.veronese.25%.rondinella.och.cabernet.sauvignon","kryddigt.smakrikt.fatkaraktär.inslag.torkade.körsbär.romrussin.mörk.choklad.sandelträ.vanilj ","Stor.kryddig.doft.fatkaraktär.inslag.korinter.romrussin.sandelträ.vanilj.mörk.choklad",99,2.25,5.83333333333333
"23",23,552,1235201,836742,12352,"Ladero","Tempranillo",59,NA,750,78.67,"2014-06-02",NA,"Rott vin","Flaska","Skruvkapsyl","La Mancha","Spanien","Bodegas Centro Españolas","Divine AB",2013,2013,"13.5%","FSN",0,0,"Tempranillo.","6 ","5 ","8 ","Tempranillo","fruktig.smak.inslag.körsbär.björnbär.färska.örter.kryddor.sötlakrits ","Fruktig.doft.inslag.körsbär.björnbär.färska.örter.sötlakrits",99,2.25,6.66666666666667
"24",24,553,1235501,25032,12355,"Inycon","Shiraz",75,NA,750,100,"2000-10-02",NA,"Rott vin. Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Sicilien","Italien","Inycon Estate","Nigab",2012,2012,"14%","FS",0,0,"Syrah.","7 ","6 ","9 ","Syrah","generöst.fruktig.smak.inslag.mörka.lakrits.örter ","Generöst.fruktig.doft.inslag.björnbär.lakrits.vanilj",99,6.25,3.41666666666667
