"Varnummer", "GivenScore", "Notes"
2111, 60, ""
4629, 50, ""
3305, 75, ""
2909, 100, ""
2842, 80, ""
2479, 70, ""
2070, 60, ""
12002, 80, ""
12679, 75, ""
16676, 40, ""
2897, 70, ""
12797, 10, "Castillo de Kraekos"
2962, 45, "Casillero del Diablo Cabernet Sauvignon"
32417, 70, "Villa Puccini, Toscana"
5475, 60, "Bourgogne Rouge Pinot Noir Labouré Roi"
2705, 78, "Brolio"
70526, 85, "Cotes du Rohne Saint Francois"
12986, 70, "Graham Beck Shiraz Carbernet Sauvignon"
3958, 70, "Chateau de Seguin Bordeaux Superieur"
